Time,"Points:0","Points:1","Points:2","contact_pressure"
1.7,-0.3,0.5,0.3,1427.3
1.7,-0.3,0.5,0.5,1278.1
1.7,-0.5,0.5,0.1,1438.3
1.7,-0.3,0.5,0.1,1572.8
1.7,-0.5,0.5,-0.1,1441.4
1.7,-0.3,0.5,-0.1,1535.3
1.7,-0.5,0.5,-0.3,1167.7
1.7,-0.3,0.5,-0.3,1287
1.7,-0.5,0.5,-0.5,991.1
1.7,-0.3,0.5,-0.5,1160.9
1.7,-0.1,0.5,0.3,1488.2
1.7,-0.1,0.5,0.5,-1.4821
1.7,-0.1,0.5,0.1,1821.9
1.7,-0.1,0.5,-0.1,1766.9
1.7,-0.1,0.5,-0.3,1530.6
1.7,-0.1,0.5,-0.5,1428.4
1.7,0.1,0.5,0.3,1669.8
1.7,0.1,0.5,0.5,1546.7
1.7,0.1,0.5,0.1,1807
1.7,0.1,0.5,-0.1,1768.2
1.7,0.1,0.5,-0.3,1527.8
1.7,0.1,0.5,-0.5,1427.5
1.7,0.3,0.5,0.3,1341.8
1.7,0.3,0.5,0.5,1278
1.7,0.3,0.5,0.1,1540.5
1.7,0.3,0.5,-0.1,1534.1
1.7,0.3,0.5,-0.3,1284.6
1.7,0.3,0.5,-0.5,1159.7
1.7,0.5,0.5,0.3,1166.7
1.7,0.5,0.5,0.5,1002.3
1.7,0.5,0.5,0.1,1436.2
1.7,0.5,0.5,-0.1,1432.6
1.7,0.5,0.5,-0.3,1164.3
1.7,0.5,0.5,-0.5,986.04
1.7,-0.5,1.5,0.3,0
1.7,-0.5,1.5,0.5,0
1.7,-0.3,1.5,0.5,0
1.7,-0.3,1.5,0.3,0
1.7,-0.5,1.5,0.1,0
1.7,-0.3,1.5,0.1,0
1.7,-0.5,1.5,-0.1,0
1.7,-0.3,1.5,-0.1,0
1.7,-0.5,1.5,-0.3,0
1.7,-0.3,1.5,-0.3,0
1.7,-0.5,1.5,-0.5,0
1.7,-0.3,1.5,-0.5,0
1.7,-0.1,1.5,0.5,0
1.7,-0.1,1.5,0.3,0
1.7,-0.1,1.5,0.1,0
1.7,-0.1,1.5,-0.1,0
1.7,-0.1,1.5,-0.3,0
1.7,-0.1,1.5,-0.5,0
1.7,0.1,1.5,0.5,0
